,precision,recall,f1-score,support
Healthy,0.484,0.485,0.485,1472.0
Infected,0.484,0.483,0.484,1472.0
accuracy,0.484,0.484,0.484,0.484
macro avg,0.484,0.484,0.484,2944.0
weighted avg,0.484,0.484,0.484,2944.0
