,precision,recall,f1-score,support
Healthy,0.519,0.52,0.52,1472.0
Infected,0.519,0.518,0.518,1472.0
accuracy,0.519,0.519,0.519,0.519
macro avg,0.519,0.519,0.519,2944.0
weighted avg,0.519,0.519,0.519,2944.0
