,precision,recall,f1-score,support
Healthy,0.5,0.497,0.499,1472.0
Infected,0.5,0.503,0.501,1472.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.5,0.5,0.5,2944.0
weighted avg,0.5,0.5,0.5,2944.0
