accuracy,loss,val_accuracy,val_loss
0.9646739363670349,0.5415637493133545,0.75,1.1405478715896606
0.9921875,0.4467121958732605,0.9642857313156128,0.5074816346168518
0.9959239363670349,0.39191243052482605,0.9952380657196045,0.38028767704963684
0.9962635636329651,0.3619319200515747,0.9904761910438538,0.37328505516052246
0.9993206262588501,0.3213069438934326,0.9928571581840515,0.33082249760627747
1.0,0.291255384683609,0.9928571581840515,0.3043746054172516
0.9993206262588501,0.2630140781402588,0.988095223903656,0.28765755891799927
0.999660313129425,0.23637007176876068,0.9952380657196045,0.2336828112602234
0.9993206262588501,0.21233610808849335,0.988095223903656,0.24349302053451538
1.0,0.18780432641506195,0.9928571581840515,0.19904395937919617
0.9989809989929199,0.16990140080451965,0.9904761910438538,0.1949390023946762
1.0,0.14760428667068481,0.9976190328598022,0.1516123116016388
1.0,0.12981638312339783,0.9976190328598022,0.1322355717420578
1.0,0.11311779916286469,0.9976190328598022,0.11113004386425018
1.0,0.0982242152094841,0.9976190328598022,0.09350068122148514
