,precision,recall,f1-score,support
Healthy,0.484,0.482,0.483,1472.0
Infected,0.484,0.486,0.485,1472.0
accuracy,0.484,0.484,0.484,0.484
macro avg,0.484,0.484,0.484,2944.0
weighted avg,0.484,0.484,0.484,2944.0
