,precision,recall,f1-score,support
Healthy,0.488,0.484,0.486,1472.0
Infected,0.488,0.491,0.49,1472.0
accuracy,0.488,0.488,0.488,0.488
macro avg,0.488,0.488,0.488,2944.0
weighted avg,0.488,0.488,0.488,2944.0
