,precision,recall,f1-score,support
Healthy,0.501,0.501,0.501,1472.0
Infected,0.501,0.5,0.5,1472.0
accuracy,0.501,0.501,0.501,0.501
macro avg,0.501,0.501,0.501,2944.0
weighted avg,0.501,0.501,0.501,2944.0
