,precision,recall,f1-score,support
Healthy,0.514,0.504,0.509,1472.0
Infected,0.514,0.524,0.519,1472.0
accuracy,0.514,0.514,0.514,0.514
macro avg,0.514,0.514,0.514,2944.0
weighted avg,0.514,0.514,0.514,2944.0
